scene,section,start_sec,end_sec,start_time,end_time,duration_sec,sentence,image,review_status,reason,motion,transition
246,ÖLÜLERLE KONUŞMAK,1450.196,1455.06,24:10.196,24:15.060,4.864,Hades aynı zamanda bu ülkeyi yöneten tanrının ismiydi.,panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “ÖLÜLERLE KONUŞMAK” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_out,crossfade
247,ÖLÜLERLE KONUŞMAK,1455.06,1459.494,24:15.060,24:19.494,4.435,Burası modern dinlerdeki cehennemle aynı yer değildi.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
248,ÖLÜLERLE KONUŞMAK,1459.494,1468.652,24:19.494,24:28.652,9.157,"Yalnızca kötü insanların cezalandırıldığı bir mekân değil, ölen insanların büyük bölümünün gölge gibi varlığını sürdürdüğü karanlık bir dünyaydı.",panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki yay yarışmasını, ölüler dünyası ve kayıp temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
249,ÖLÜLERLE KONUŞMAK,1468.652,1479.097,24:28.652,24:39.097,10.446,"Homeros’un anlatımında Odysseus doğrudan yer altı dünyasının içine inmekten çok, onun sınırına ulaşır ve yaptığı kanlı bir ayinle ruhları kendisine çağırır.",panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
250,ÖLÜLERLE KONUŞMAK,1479.097,1483.532,24:39.097,24:43.532,4.435,Burada Teiresias isimli ölmüş bir kâhinle konuşur.,panel_37.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “ÖLÜLERLE KONUŞMAK” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_out,crossfade
251,ÖLÜLERLE KONUŞMAK,1483.532,1487.108,24:43.532,24:47.108,3.576,"Kâhin, geleceği bildiğine inanılan kişidir.",panel_37.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “ÖLÜLERLE KONUŞMAK” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_left,crossfade
252,ÖLÜLERLE KONUŞMAK,1487.108,1496.695,24:47.108,24:56.695,9.587,"Teiresias, Odysseus’u güneş tanrısı Helios’un kutsal sığırları konusunda uyarır: Bu hayvanlara zarar verirlerse gemileri yok olacak ve arkadaşları ölecektir.",panel_38.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, deniz yolculuğunu doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
253,ÖLÜLERLE KONUŞMAK,1496.695,1501.558,24:56.695,25:01.558,4.864,Odysseus daha sonra kendi annesi Antikleia’nın ruhunu görür.,panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
254,ÖLÜLERLE KONUŞMAK,1501.558,1504.705,25:01.558,25:04.705,3.147,Savaşa giderken annesi hayattadır.,panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
255,ÖLÜLERLE KONUŞMAK,1504.705,1511.286,25:04.705,25:11.286,6.581,Fakat Odysseus uzakta olduğu yıllarda ölmüştür ve o bunu ancak şimdi öğrenir.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
256,ÖLÜLERLE KONUŞMAK,1511.286,1518.726,25:11.286,25:18.726,7.44,"Antikleia, oğluna bir hastalıktan değil, ona duyduğu özlem ve yaşadığı keder yüzünden öldüğünü söyler.",panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “ÖLÜLERLE KONUŞMAK” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_right,crossfade
257,ÖLÜLERLE KONUŞMAK,1518.726,1523.161,25:18.726,25:23.161,4.435,Odysseus annesine sarılmak için üç kez uzanır.,panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
258,ÖLÜLERLE KONUŞMAK,1523.161,1530.601,25:23.161,25:30.601,7.44,Fakat annesinin ruhu her seferinde ellerinin arasından bir gölge veya rüya gibi kayıp gider.,panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
259,ÖLÜLERLE KONUŞMAK,1530.601,1539.758,25:30.601,25:39.758,9.157,"Orduları yöneten, canavarları kandıran ve imkânsız görünen tuzaklar kuran Odysseus, annesine bir kez sarılabilmek için hiçbir şey yapamaz.",panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
260,ÖLÜLERLE KONUŞMAK,1539.758,1543.764,25:39.758,25:43.764,4.005,Bu sahne ona zekânın sınırını gösterir.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
261,ÖLÜLERLE KONUŞMAK,1543.764,1547.769,25:43.764,25:47.769,4.005,Bazı kayıpların çözülebilecek bir planı yoktur.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
262,ÖLÜLERLE KONUŞMAK,1547.769,1550.915,25:47.769,25:50.915,3.147,"Nolan, Antikleia’yı filmine almaz.",panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “ÖLÜLERLE KONUŞMAK” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_out,crossfade
263,ÖLÜLERLE KONUŞMAK,1550.915,1555.779,25:50.915,25:55.779,4.864,Bunun yerine ölüler bölümünün duygusal merkezine Sinon’u yerleştirir.,panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki ölüler dünyası ve kayıp temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
264,ÖLÜLERLE KONUŞMAK,1555.779,1562.361,25:55.779,26:02.361,6.581,"Hatırlarsanız Aeneis’ten gelen Sinon, Truva Atı planı için geride bırakılan genç askerdi.",panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Troya/Truva bağlamını, tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
265,ÖLÜLERLE KONUŞMAK,1562.361,1568.083,26:02.361,26:08.083,5.723,Nolan onu Odysseus’un kullandığı ve ölüme gönderdiği bir adama dönüştürür.,panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, ölüler dünyası ve kayıp temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
266,ÖLÜLERLE KONUŞMAK,1568.083,1574.235,26:08.083,26:14.235,6.152,"Ölüler dünyasında Sinon’un karşısına çıkması, Odysseus’un Truva’daki zaferinin bedelinden kaçamadığını gösterir.",panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Troya/Truva bağlamını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
267,ÖLÜLERLE KONUŞMAK,1574.235,1578.67,26:14.235,26:18.670,4.435,Nolan’ın Odysseus’u yalnızca eve giden yolu aramıyor.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
268,ÖLÜLERLE KONUŞMAK,1578.67,1583.534,26:18.670,26:23.534,4.864,Ölen adamlarının karşısında nasıl yaşayacağını da bulmaya çalışıyor.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
269,ÖLÜLERLE KONUŞMAK,1583.534,1590.115,26:23.534,26:30.115,6.581,Teiresias ona izlemesi gereken yolu ve uzak durması gereken kutsal sığırları söyledi.,panel_38.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “ÖLÜLERLE KONUŞMAK” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_in,crossfade
270,ÖLÜLERLE KONUŞMAK,1590.115,1595.408,26:30.115,26:35.408,5.293,"Fakat tehlikeyi önceden bilmek, ondan kurtulmaya her zaman yetmez.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
271,ÖLÜLERLE KONUŞMAK,1595.408,1604.136,26:35.408,26:44.136,8.728,"Odysseus ölülerin arasından yeniden denize dönerken önündeki tehditler artık yalnızca bedenine değil, merakına, iradesine ve liderliğine saldıracaktır.",panel_36.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, ölüler dünyası ve kayıp temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
272,KENDİ AKLINDAN KORUNMAK,1604.136,1609.859,26:44.136,26:49.859,5.723,Odysseus ölülerin ülkesinden ayrıldıktan sonra Sirenlerin bulunduğu bölgeden geçmek zorundaydı.,scene_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, Sirenler bölümünü doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
273,KENDİ AKLINDAN KORUNMAK,1609.859,1615.152,26:49.859,26:55.152,5.293,Sirenler bugün çoğu zaman balık kuyruklu denizkızları olarak gösterilir.,scene_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Sirenler bölümünü doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
274,KENDİ AKLINDAN KORUNMAK,1615.152,1622.592,26:55.152,27:02.592,7.44,Fakat eski Yunan sanatında genellikle kadın başlı ve kuş gövdeli yaratıklar olarak tasvir edilirlerdi.,scene_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
275,KENDİ AKLINDAN KORUNMAK,1622.592,1628.315,27:02.592,27:08.315,5.723,"Şarkılarıyla denizcileri büyüler, gemilerini kayalıklara sürükler ve ölümlerine yol açarlardı.",scene_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki deniz yolculuğunu, ölüler dünyası ve kayıp temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
276,KENDİ AKLINDAN KORUNMAK,1628.315,1631.891,27:08.315,27:11.891,3.576,Odysseus bu şarkıyı duymak istiyordu.,scene_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
277,KENDİ AKLINDAN KORUNMAK,1631.891,1637.184,27:11.891,27:17.184,5.293,Fakat onu duyduğu anda kendi iradesine güvenemeyeceğini de biliyordu.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
278,KENDİ AKLINDAN KORUNMAK,1637.184,1641.189,27:17.184,27:21.189,4.005,Bu nedenle adamlarının kulaklarını balmumuyla kapattı.,scene_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
279,KENDİ AKLINDAN KORUNMAK,1641.189,1645.194,27:21.189,27:25.194,4.005,Kendisini ise geminin direğine sıkıca bağlattı.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
280,KENDİ AKLINDAN KORUNMAK,1645.194,1650.917,27:25.194,27:30.917,5.723,"Ne kadar yalvarırsa yalvarsın, ne emrederse emretsin onu çözmemelerini söyledi.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
281,KENDİ AKLINDAN KORUNMAK,1650.917,1655.781,27:30.917,27:35.781,4.864,Sirenlerin şarkısını duyduğunda iplerden kurtulmak için bağırmaya başladı.,scene_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Sirenler bölümünü doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
282,KENDİ AKLINDAN KORUNMAK,1655.781,1661.074,27:35.781,27:41.074,5.293,Fakat adamları onu çözmek yerine bağlarını daha da sıkılaştırdı.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
283,KENDİ AKLINDAN KORUNMAK,1661.074,1665.938,27:41.074,27:45.938,4.864,Gemi tehlikeli bölgeden uzaklaştığında Sirenlerin etkisi sona erdi.,scene_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Sirenler bölümünü, deniz yolculuğunu doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
284,KENDİ AKLINDAN KORUNMAK,1665.938,1674.237,27:45.938,27:54.237,8.299,Odysseus burada gelecekteki hâlinin yanlış karar vereceğini bilir ve henüz doğru düşünebilirken kendisine karşı önlem alır.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
285,KENDİ AKLINDAN KORUNMAK,1674.237,1679.101,27:54.237,27:59.101,4.864,"Sirenleri iradesine güvendiği için değil, güvenmediği için yener.",scene_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Sirenler bölümünü doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
286,KENDİ AKLINDAN KORUNMAK,1679.101,1686.97,27:59.101,28:06.970,7.869,"Nolan filminde Sirenlerin sesi, onun gizli korkusuna da dokunur: Belki Odysseus gerçekten eve dönmek istemiyordur.",scene_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, Sirenler bölümünü doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
287,KENDİ AKLINDAN KORUNMAK,1686.97,1691.405,28:06.970,28:11.405,4.435,"Belki canavarlar, fırtınalar ve tanrılar yalnızca bahanedir.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
288,KENDİ AKLINDAN KORUNMAK,1691.405,1696.698,28:11.405,28:16.698,5.293,"Odysseus Sirenleri, adamlarına önceden verdiği açık talimat sayesinde geçer.",scene_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
289,KENDİ AKLINDAN KORUNMAK,1696.698,1707.144,28:16.698,28:27.144,10.446,"Fakat hemen ardından bunun tam tersi bir liderlik sınavıyla karşılaşır: Bu kez adamlarının kendisine güvenmesini isteyecek, fakat bildiği gerçeği onlara anlatmayacaktır.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
290,KENDİ AKLINDAN KORUNMAK,1707.144,1711.578,28:27.144,28:31.578,4.435,Çünkü önünde daha somut bir tehlike vardır.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
291,KENDİ AKLINDAN KORUNMAK,1711.578,1716.013,28:31.578,28:36.013,4.435,Gemisi iki deniz canavarının arasından geçmek zorundadır.,panel_39.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki deniz yolculuğunu doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
292,KENDİ AKLINDAN KORUNMAK,1716.013,1722.165,28:36.013,28:42.165,6.152,"Bir tarafta Skylla vardır: yüksek kayalıklarda yaşayan, çok başlı bir yaratık.",panel_39.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Skylla tehlikesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
293,KENDİ AKLINDAN KORUNMAK,1722.165,1728.746,28:42.165,28:48.746,6.581,Diğer tarafta Kharybdis vardır: denizi belirli aralıklarla içine çeken dev bir girdap.,panel_39.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Kharybdis girdabını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
294,KENDİ AKLINDAN KORUNMAK,1728.746,1732.322,28:48.746,28:52.322,3.576,Kharybdis’e yaklaşırsa gemideki herkes ölecektir.,panel_39.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Kharybdis girdabını, deniz yolculuğunu doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
295,KENDİ AKLINDAN KORUNMAK,1732.322,1735.898,28:52.322,28:55.898,3.576,Skylla’ya yaklaşırsa altı kişi ölecektir.,panel_39.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Skylla tehlikesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
296,KENDİ AKLINDAN KORUNMAK,1735.898,1740.332,28:55.898,29:00.332,4.435,Odysseus gemisini Skylla’ya yakın sürmeye karar verir.,panel_39.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, Skylla tehlikesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
297,KENDİ AKLINDAN KORUNMAK,1740.332,1743.908,29:00.332,29:03.908,3.576,Skylla altı askeri yakalayıp öldürür.,panel_40.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Skylla tehlikesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
298,KENDİ AKLINDAN KORUNMAK,1743.908,1751.778,29:03.908,29:11.778,7.869,Odysseus daha büyük felaketi engeller; fakat adamlarına gerçeği söylemeden altı kişinin feda edilmesine karar verir.,panel_40.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
299,KENDİ AKLINDAN KORUNMAK,1751.778,1757.071,29:11.778,29:17.071,5.293,Çoğunluğu kurtarmıştır ama ölecek insanlara hiçbir seçim hakkı tanımamıştır.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
300,KENDİ AKLINDAN KORUNMAK,1757.071,1761.505,29:17.071,29:21.505,4.435,Skylla geçidinde Odysseus adamlarının yerine karar vermişti.,panel_39.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, Skylla tehlikesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
301,KENDİ AKLINDAN KORUNMAK,1761.505,1770.663,29:21.505,29:30.663,9.157,"Bir sonraki adada ise kontrol tamamen elinden çıkacak ve aç kalan askerler, bütün uyarılarına rağmen kendi kararlarını verecekti.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
302,KENDİ AKLINDAN KORUNMAK,1770.663,1776.815,29:30.663,29:36.815,6.152,Hayatta kalanlar sonunda güneş tanrısı Helios’un kutsal sığırlarının yaşadığı adaya ulaştı.,panel_41.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Helios’un kutsal sığırlarını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
303,KENDİ AKLINDAN KORUNMAK,1776.815,1782.108,29:36.815,29:42.108,5.293,Teiresias ve Kirke onları bu hayvanlara dokunmamaları için uyarmıştı.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_left,crossfade
304,KENDİ AKLINDAN KORUNMAK,1782.108,1786.113,29:42.108,29:46.113,4.005,Fakat çıkan fırtına yüzünden adadan ayrılamadılar.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
305,KENDİ AKLINDAN KORUNMAK,1786.113,1789.689,29:46.113,29:49.689,3.576,Yiyecekleri tükendi ve açlık başladı.,panel_41.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “KENDİ AKLINDAN KORUNMAK” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_in,crossfade
306,KENDİ AKLINDAN KORUNMAK,1789.689,1794.983,29:49.689,29:54.983,5.293,Odysseus dua etmek için uzaklaştı ve orada uykuya daldı.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
307,KENDİ AKLINDAN KORUNMAK,1794.983,1800.705,29:54.983,30:00.705,5.723,"O uyurken Eurylochos, diğer askerleri kutsal sığırları kesmeye ikna etti.",panel_42.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “KENDİ AKLINDAN KORUNMAK” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_left,crossfade
308,KENDİ AKLINDAN KORUNMAK,1800.705,1804.71,30:00.705,30:04.710,4.005,Yani sığırları öldüren kişi Odysseus değildi.,panel_42.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
309,KENDİ AKLINDAN KORUNMAK,1804.71,1810.004,30:04.710,30:10.004,5.293,Fakat lideri olduğu insanların kararlarının sonuçlarından yine de kaçamadı.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
310,KENDİ AKLINDAN KORUNMAK,1810.004,1814.438,30:10.004,30:14.438,4.435,Helios öfkelendi ve Zeus’tan onları cezalandırmasını istedi.,panel_41.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Helios’un kutsal sığırlarını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
311,KENDİ AKLINDAN KORUNMAK,1814.438,1819.731,30:14.438,30:19.731,5.293,Gemi yeniden denize açıldığında Zeus’un gönderdiği yıldırım gemiyi parçaladı.,panel_43.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki deniz yolculuğunu doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
312,KENDİ AKLINDAN KORUNMAK,1819.731,1822.878,30:19.731,30:22.878,3.147,Odysseus dışında herkes ölür.,panel_43.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, ölüler dünyası ve kayıp temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
